,GUID,type,Manufacturer,Category,Family,Material,Roughness,ArticleNumber,Leveringsprogramma,Omschrijving,Artikelnummer,Afmetingen,System Type,System Abbreviation,Type,Afmeting,Buis type,Lengte,Afmetingen [mm],System Name,InvertElevation,Systeemtype,Systeemnaam,Binnendiameter,Kanaaltype,Diameter,Verbindingstype,Debiet
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjIm,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CAB,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlq$,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihT06,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3Jr,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjOl,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeWu,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_CoveringCommon,33fIOoLC95wgB$jn9h9qsi,IfcCovering,,,,Default,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXa,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXB,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXI,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXD,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_CoveringCommon,33fIOoLC95wgB$jn9h9qsl,IfcCovering,,,,Default,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXO,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,3$jO3xPMT3GuoR_IvX0gKT,IfcCovering,,Pipe Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeWh,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXK,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeX0,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXT,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXE,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,0b3BgSczDBSh86SByWXcJf,IfcCovering,,Pipe Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeX3,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXZ,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeX8,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXH,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,0b3BgSczDBSh86SByWXcK8,IfcCovering,,Pipe Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeWj,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXb,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeWx,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXC,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXL,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeX1,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXQ,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,3$jO3xPMT3GuoR_IvX0gKb,IfcCovering,,Pipe Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeWy,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,0b3BgSczDBSh86SByWXcKU,IfcCovering,,Pipe Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_CoveringCommon,3_7qgtqBnCiwZK2EflxaTG,IfcCovering,,,,Default,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeX7,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeWg,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXS,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,3$jO3xPMT3GuoR_IvX0gKA,IfcCovering,,Pipe Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeX2,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeX5,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXW,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1D0_H6rdL1iRWZ17zIkeXY,IfcCovering,,Duct Insulations,,,,,,,,,,,,,,,,,,,,,,,,
